,id,category,sub category,product,price,unit,weight,calories
46,3456,"Meat, chicken, fish, vega",Meat,Unox Gelderse rookworst,3.9,"285 gPrijs per KG € 10,84",285 Gram,283.0
47,3437,"Meat, chicken, fish, vega",Meat,AH Gepaneerde schnitzel,2.5,"2 stuksNormale prijs per KG € 10,50",300 Gram,162.0
48,3440,"Meat, chicken, fish, vega",Meat,Unox Rookworst extra mager,2.95,"275 gPrijs per KG € 10,73",275 Gram,195.0
49,3392,"Meat, chicken, fish, vega",Meat,AH Biologisch Rundergehakt,6.49,"500 gPrijs per KG € 12,98",500 Gram,234.0
50,3419,"Meat, chicken, fish, vega",Meat,AH Biologisch Half-om-half gehakt,3.89,"300 gPrijs per KG € 12,97",300 Gram,225.0
51,3409,"Meat, chicken, fish, vega",Meat,AH Half-om-half gehakt,6.89,"1 kgPrijs per KG € 6,89",1 Kilogram,228.0
52,3411,"Meat, chicken, fish, vega",Meat,AH Varkensbraadworst,2.99,4 stuks,400 Gram,257.0
53,3424,"Meat, chicken, fish, vega",Meat,AH Varkenslavink,3.49,4 stuks,400 Gram,274.0
54,3398,"Meat, chicken, fish, vega",Meat,AH Biologisch Ontbijtspek,2.79,"ca. 100 gPrijs per KG € 27,90",100 Gram,283.0
55,3459,"Meat, chicken, fish, vega",Meat,Vegetarische Slager Bratwurst,2.85,"160 gPrijs per KG € 17,81",2 Stuks (piece). 160 Gram,153.0
56,3403,"Meat, chicken, fish, vega",Meat,AH Greenfields Runder riblappen,10.43,"ca. 720 gPrijs per KG € 14,49",450 Gram,166.0
57,3445,"Meat, chicken, fish, vega",Meat,AH Greenfields Beefburger naturel,3.99,"2 stuksPrijs per KG € 15,96",250 Gram,263.0
58,3405,"Meat, chicken, fish, vega",Meat,AH Biologisch Hamburger,3.69,2 stuks,200 Gram,219.0
59,3402,"Meat, chicken, fish, vega",Meat,AH Biefstuk,4.93,"ca. 275 gNormale prijs per KG € 23,90",275 Gram,108.0
60,3453,"Meat, chicken, fish, vega",Meat,Unox Gelderse xxl rookworst 2015,4.19,"375 gPrijs per KG € 11,17",375 Gram,283.0
61,3435,"Meat, chicken, fish, vega",Meat,AH Hamburger,4.39,"4 stuksPrijs per KG € 10,98",400 Gram,281.0
62,3423,"Meat, chicken, fish, vega",Meat,AH Mager rundergehakt,3.69,"300 gPrijs per KG € 12,30",300 Gram,192.0
63,3389,"Meat, chicken, fish, vega",Meat,AH Sappige magere rookworst,1.35,"250 gPrijs per KG € 5,40",250 Gram,237.0
64,3266,"Meat, chicken, fish, vega",Chicken,AH Scharrel gebraden kipfiletreep Italiaans,3.69,"150 gPrijs per KG € 24,60",150 Gram,119.0
65,3316,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipbraadworst,3.99,"300 gPrijs per KG € 13,30",300 Gram,200.0
66,3371,"Meat, chicken, fish, vega",Chicken,AH Scharrel krokante kipfiletschnitzel,3.89,"250 gPrijs per KG € 15,56",250 Gram,234.0
67,3308,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipkluifjes gemarineerd,3.69,"500 gPrijs per KG € 7,38",500 Gram,220.0
68,3363,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipfilet 2 stuks,4.59,"300 gPrijs per KG € 15,30",300 Gram,114.0
69,3270,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipburger 2 stuks,2.29,"200 gPrijs per KG € 11,45",200 Gram,284.0
70,3298,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipfiletblokjes,8.99,"600 gPrijs per KG € 14,98",600 Gram,114.0
71,3294,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipkluifjes,3.49,"500 gPrijs per KG € 6,98",500 Gram,203.0
72,3262,"Meat, chicken, fish, vega",Chicken,AH Scharrel gerookte kipfiletreepjes,4.99,"250 gPrijs per KG € 19,96",250 Gram,98.0
73,3341,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipkaasschnitzel 2 stuks,2.99,"200 gPrijs per KG € 14,95",200 Gram,249.0
74,3320,"Meat, chicken, fish, vega",Chicken,AH Scharrel gerookte kipfilet,3.9,"ca. 150 gPrijs per KG € 20,60",140 Gram,111.0
75,3349,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipfilethaasjes,4.99,"300 gPrijs per KG € 16,63",300 Gram,114.0
76,3346,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipsateschnitzel 2 stuks,3.19,"250 gPrijs per KG € 12,76",250 Gram,239.0
77,3281,"Meat, chicken, fish, vega",Chicken,AH Scharrel gerookte kipfilet plakjes,3.28,"ca. 155 gPrijs per KG € 21,19",150 Gram,115.0
78,3342,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipdijfilet,8.99,"770 gPrijs per KG € 11,68",770 Gram,157.0
79,3304,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipfilet roerbakstukjes,4.75,"300 gPrijs per KG € 15,83",300 Gram,114.0
80,3292,"Meat, chicken, fish, vega",Chicken,AH Scharrel kip cordon bleu 4 stuks,6.49,"500 gPrijs per KG € 12,98",500 Gram,209.0
81,3357,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipschnitzel 2 stuks,3.19,"205 gPrijs per KG € 15,56",205 Gram,240.0
82,3289,"Meat, chicken, fish, vega",Chicken,AH Biologisch Kipdijfilet,8.61,"ca. 365 gPrijs per KG € 23,58",345 Gram,132.0
83,3279,"Meat, chicken, fish, vega",Chicken,AH Scharrel kip cordon bleu 2 stuks,3.59,"250 gPrijs per KG € 14,36",250 Gram,209.0
84,3313,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipreepjes,4.5,"320 gPrijs per KG € 14,06",350 Gram,107.0
85,3310,"Meat, chicken, fish, vega",Chicken,AH Biologisch Kipfilet 2 stuks,9.49,"ca. 320 gPrijs per KG € 29,66",280 Gram,103.0
86,3323,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipfilet 3 stuks,7.99,"600 gPrijs per KG € 13,32",600 Gram,114.0
87,3333,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipdijfiletreepjes naturel,4.89,"350 gPrijs per KG € 13,97",350 Gram,157.0
88,3327,"Meat, chicken, fish, vega",Chicken,AH Scharrel kippenpoten 2 stuks,2.79,"ca. 600 gNormale prijs per KG € 5,82",605 Gram,180.0
89,3337,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipgehakt,3.99,"300 gPrijs per KG € 13,30",300 Gram,231.0
90,3275,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipgehakt gekruid,4.29,"300 gPrijs per KG € 14,30",300 Gram,195.0
91,3273,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipdijfiletreepjes shoarma,7.99,"650 gPrijs per KG € 12,29",650 Gram,166.0
92,3367,"Meat, chicken, fish, vega",Chicken,AH Kipreepjes,3.49,"200 gPrijs per KG € 17,45",200 Gram,103.0
93,3285,"Meat, chicken, fish, vega",Chicken,AH Scharrel gebraden kipflakes kebab,3.99,"225 gPrijs per KG € 17,73",225 Gram,156.0
94,3330,"Meat, chicken, fish, vega",Chicken,AH Scharrel kipburger 4 stuks,3.99,"400 gPrijs per KG € 9,98",400 Gram,284.0
95,3195,"Meat, chicken, fish, vega",Fish,Iglo Lekkerbekje sticks,2.51,"8 x 28 gNormale prijs per KG € 14,96",8 Stuks (piece). 224 Gram,248.0
96,3240,"Meat, chicken, fish, vega",Fish,AH Zalmfilet op huid,7.18,"ca. 310 gPrijs per KG € 23,16",300 Gram,220.0
97,3191,"Meat, chicken, fish, vega",Fish,AH Zalm op huid 1 stuk,4.29,"ca. 170 gPrijs per KG € 25,24",170 Gram,220.0
98,3237,"Meat, chicken, fish, vega",Fish,Iglo Vissticks,4.87,"20 x 28 gNormale prijs per KG € 11,59",20 Stuks (piece). 560 Gram,216.0
99,3190,"Meat, chicken, fish, vega",Fish,AH Kabeljauwburger gepaneerd,4.99,"4 stuksPrijs per KG € 12,48",400 Gram,225.0
100,3223,"Meat, chicken, fish, vega",Fish,AH Pangasiusfilet tuinkruiden,4.99,"ca. 310 gPrijs per KG € 16,10",280 Gram,193.0
101,3216,"Meat, chicken, fish, vega",Fish,AH Surimi sticks,1.19,"250 gPrijs per KG € 4,76",250 Gram,122.0
102,3242,"Meat, chicken, fish, vega",Fish,AH Gerookte zalmfilet,2.29,"50 gPrijs per KG € 45,80",50 Gram,191.0
103,3257,"Meat, chicken, fish, vega",Fish,Olav's Gerookte zalmfilet,5.99,"200 gPrijs per KG € 29,95",200 Gram,183.0
104,3207,"Meat, chicken, fish, vega",Fish,Iglo Lekkerbekjes traditioneel,3.52,"2 x 120 gNormale prijs per KG € 19,54",2 Stuks (piece). 240 Gram,238.0
105,3199,"Meat, chicken, fish, vega",Fish,AH Sandwich zalmplakken,4.99,"100 gPrijs per KG € 49,90",100 Gram,210.0
106,3209,"Meat, chicken, fish, vega",Fish,Princes Ansjovisfilets in olijfolie,1.99,"46 gPrijs per KG € 43,26",46 Gram,182.0
107,3235,"Meat, chicken, fish, vega",Fish,AH Maatjesharing met uitjes,2.9,2 stuks,150 Gram,149.0
108,3197,"Meat, chicken, fish, vega",Fish,Iglo Fishcuisine Bretagne,4.99,"380 gPrijs per KG € 13,13",380 Gram,175.0
109,3259,"Meat, chicken, fish, vega",Fish,AH Gerookte zalmfilet voordeel,7.49,"200 gPrijs per KG € 37,45",200 Gram,187.0
110,3232,"Meat, chicken, fish, vega",Fish,AH Biologisch Gerookte zalm,4.99,"100 gPrijs per KG € 49,90",100 Gram,200.0
111,3192,"Meat, chicken, fish, vega",Fish,AH Grote garnalen,3.99,"100 gPrijs per KG € 39,90",100 Gram,74.0
112,3241,"Meat, chicken, fish, vega",Fish,AH Kabeljauwhaasje portie,6.99,"260 gPrijs per KG € 26,88",260 Gram,76.0
113,3205,"Meat, chicken, fish, vega",Fish,AH Alaska koolvis,2.89,"4 x 100 gPrijs per KG € 7,23",400 Gram,67.0
114,3210,"Meat, chicken, fish, vega",Fish,AH Gerookte zalm 25 % minder zout,3.29,"100 gNormale prijs per KG € 42,90",100 Gram,179.0
115,3230,"Meat, chicken, fish, vega",Fish,AH Makreelfilet graatloos,5.66,"ca. 165 gPrijs per KG € 34,31",260 Gram,250.0
116,3213,"Meat, chicken, fish, vega",Fish,AH Warmgerookte zalmmoten,7.99,"ca. 250 gPrijs per KG € 31,96",250 Gram,219.0
117,3226,"Meat, chicken, fish, vega",Fish,AH Wilde zalmfilet,3.19,"250 gPrijs per KG € 12,76",250 Gram,99.0
118,3245,"Meat, chicken, fish, vega",Fish,AH Hollandse garnalen,5.99,"100 gPrijs per KG € 59,90",100 Gram,95.0
119,3189,"Meat, chicken, fish, vega",Fish,AH Zalmfilet,16.99,"ca. 580 gPrijs per KG € 29,29",600 Gram,220.0
120,3220,"Meat, chicken, fish, vega",Fish,AH Vissticks,2.99,15 stuks,450 Gram,191.0
121,3202,"Meat, chicken, fish, vega",Fish,AH Gerookte zalmsnippers,7.49,"200 gPrijs per KG € 37,26",200 Gram,167.0
122,3224,"Meat, chicken, fish, vega",Fish,AH Lekkerbekjes,2.99,"3 x 100 gPrijs per KG € 9,97",300 Gram,198.0
123,3239,"Meat, chicken, fish, vega",Fish,AH Pangasiusfilet,5.69,"350 gPrijs per KG € 16,26",330 Gram,78.0
124,1579,Wine and bubbles,Red wine,AH Excellent Selectie Valpolicella Ripasso,9.99,"0,75 lPrijs per LT € 13,32",75 Centiliter,
125,1589,Wine and bubbles,Red wine,AH Gluhwein,1.69,"0,75 lNormale prijs per LT € 2,52",750 Milliliter,77.0
126,1552,Wine and bubbles,Red wine,Norton Barrel select malbec,8.59,"0,75 lPrijs per LT € 11,45",0.75 Liter,
127,1557,Wine and bubbles,Red wine,Aliwen Cabernet sauvignon Carmenere reserva,6.65,"0,75 lPrijs per LT € 8,87",0.75 Liter,
128,1558,Wine and bubbles,Red wine,19 Crimes Red blend,9.49,"0,75 lPrijs per LT € 12,65",0.75 Liter,
129,1576,Wine and bubbles,Red wine,Viña Albali Reserva,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
130,1583,Wine and bubbles,Red wine,Mucho Mas Rood tempranillo,6.99,"0,75 lPrijs per LT € 9,32",0.75 Liter,
131,1571,Wine and bubbles,Red wine,Casillero del Diablo Cabernet sauvignon,6.99,"0,75 lPrijs per LT € 9,32",0.75 Liter,
132,1581,Wine and bubbles,Red wine,Undurraga Cabernet sauvignon,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
133,1588,Wine and bubbles,Red wine,Campo Viejo Rioja tempranillo,7.29,"0,75 lPrijs per LT € 9,72",0.75 Liter,
134,1569,Wine and bubbles,Red wine,Fat bastard Merlot,5.79,"0,75 lPrijs per LT € 7,72",0.75 Liter,
135,1563,Wine and bubbles,Red wine,Lindeman's Bin 45 cabernet sauvignon,5.29,"0,75 lNormale prijs per LT € 9,32",0.75 Liter,
136,1554,Wine and bubbles,Red wine,Hardys Crest cabernet shiraz merlot,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
137,1586,Wine and bubbles,Red wine,Lindeman's Cabernet sauvignon merlot,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
138,1564,Wine and bubbles,Red wine,Château Coulon Organic wine,6.29,"0,75 lPrijs per LT € 8,39",0.75 Liter,
139,1582,Wine and bubbles,Red wine,Valdivieso Merlot,6.59,"0,75 lPrijs per LT € 8,79",0.75 Liter,
140,1570,Wine and bubbles,Red wine,Lindeman's South Africa shiraz cabernet,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
141,1585,Wine and bubbles,Red wine,Undurraga Merlot,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
142,1561,Wine and bubbles,Red wine,AH Suid-Afrika soepel,3.99,"1 lNormale prijs per LT € 4,49",1 Liter,75.0
143,1555,Wine and bubbles,Red wine,Riporta Primitivo,7.98,"0,75 lNormale prijs per LT € 10,64",0.75 Liter,
144,1578,Wine and bubbles,Red wine,Sarmentino Merlot,3.49,"0,75 lPrijs per LT € 4,65",750 Milliliter,72.0
145,1572,Wine and bubbles,Red wine,Lindeman's Bin 40 merlot,5.29,"0,75 lNormale prijs per LT € 9,32",0.75 Liter,
146,1577,Wine and bubbles,Red wine,Fantini Puglia rosso,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
147,1587,Wine and bubbles,Red wine,Aliwen Cabernet sauvignon syrah reserva,6.65,"0,75 lPrijs per LT € 8,87",0.75 Liter,
148,1590,Wine and bubbles,Red wine,Undurraga Carménère,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
149,1559,Wine and bubbles,Red wine,Castaño Monastrell,4.99,"0,75 lPrijs per LT € 6,65",0.75 Liter,
150,1584,Wine and bubbles,Red wine,Berberana Red dragon tempranillo,3.99,"0,75 lPrijs per LT € 5,32",0.75 Liter,
151,1580,Wine and bubbles,Red wine,AH France rood fruitig,4.49,"1 lPrijs per LT € 4,49",1 Liter,67.0
152,1568,Wine and bubbles,Red wine,La Palma Merlot,4.99,"0,75 lNormale prijs per LT € 7,99",0.75 Liter,
153,1574,Wine and bubbles,Red wine,Alamos Malbec,7.98,"0,75 lPrijs per LT € 10,64",0.75 Liter,
154,1556,Wine and bubbles,Red wine,Free Feather Merlot alcoholvrij,3.99,"0,75 lPrijs per LT € 5,32",0.75 Liter,21.0
155,1553,Wine and bubbles,Red wine,AH Chili huiswijn stevig rood,2.9,"0,25 lPrijs per LT € 8,36",250 Milliliter,79.0
156,1573,Wine and bubbles,Red wine,Federico Paternina Rioja crianza,6.49,"0,75 lPrijs per LT € 8,65",0.75 Liter,
157,1591,Wine and bubbles,Red wine,Mesta Organic tempranillo,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
158,1575,Wine and bubbles,Red wine,AH Cabernet sauvignon,3.29,"0,75 lPrijs per LT € 4,39",750 Milliliter,77.0
159,1562,Wine and bubbles,Red wine,La Tulipe Merlot,5.99,"0,75 lNormale prijs per LT € 7,99",0.75 Liter,
160,1550,Wine and bubbles,Red wine,AH Excellent Rietburg spätburgunder,7.49,"0,75 lPrijs per LT € 9,99",750 Milliliter,
161,1537,Wine and bubbles,White wine,Sol y Nieve Rueda verdejo-viura,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
162,1515,Wine and bubbles,White wine,Free Feather Wit alcoholvrij,3.99,"0,75 lPrijs per LT € 5,32",0.75 Liter,22.0
163,1533,Wine and bubbles,White wine,Mastri Vernacoli Pinot Grigio,7.49,"0,75 lPrijs per LT € 9,99",0.75 Liter,
164,1525,Wine and bubbles,White wine,Flaxbourne Sauvignon blanc,8.49,"0,75 lPrijs per LT € 11,32",0.75 Liter,
165,1542,Wine and bubbles,White wine,Lindeman's South Africa sauvignon blanc chardonnay,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
166,1535,Wine and bubbles,White wine,Wild Pig Chardonnay,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
167,1514,Wine and bubbles,White wine,Moselland Beste lese,3.19,"0,75 lPrijs per LT € 4,25",0.75 Liter,
168,1513,Wine and bubbles,White wine,Sarmentino Chardonnay,3.49,"0,75 lPrijs per LT € 4,65",0.75 Liter,74.0
169,1536,Wine and bubbles,White wine,Valdivieso Chardonnay,6.59,"0,75 lPrijs per LT € 8,79",0.75 Liter,
170,1512,Wine and bubbles,White wine,19 Crimes Chardonnay,9.49,"0,75 lPrijs per LT € 12,65",0.75 Liter,
171,1527,Wine and bubbles,White wine,AH Zuid- Afrika huiswijn vol en droog,4.49,"1 lPrijs per LT € 4,49",1 Liter,75.0
172,1519,Wine and bubbles,White wine,Lindeman's Bin 95 sauvignon blanc,5.29,"0,75 lNormale prijs per LT € 9,32",0.75 Liter,
173,1518,Wine and bubbles,White wine,Casillero del Diablo Chardonnay,6.99,"0,75 lPrijs per LT € 9,32",0.75 Liter,
174,1526,Wine and bubbles,White wine,Selezioni Venete Pinot Grigio,4.49,"0,75 lPrijs per LT € 5,99",0.75 Liter,
175,1541,Wine and bubbles,White wine,Sarmentino Pinot grigio,3.49,"0,75 lPrijs per LT € 4,65",750 Milliliter,67.0
176,1532,Wine and bubbles,White wine,AH Excellent Pinot grigio,6.99,"0,75 lPrijs per LT € 9,32",750 Milliliter,71.0
177,1545,Wine and bubbles,White wine,Undurraga Sauvignon blanc,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
178,1548,Wine and bubbles,White wine,Mesta Organic verdejo,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
179,1522,Wine and bubbles,White wine,Cave de Beblenheim Pinot blanc,5.79,"0,75 lPrijs per LT € 7,72",0.75 Liter,
180,1524,Wine and bubbles,White wine,Slurp! Chardonnay,4.99,"0,75 lPrijs per LT € 6,65",0.75 Liter,
181,1511,Wine and bubbles,White wine,Wild Pig Sauvignon blanc,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
182,1534,Wine and bubbles,White wine,La Palma Chardonnay,4.99,"0,75 lNormale prijs per LT € 7,99",0.75 Liter,
183,1523,Wine and bubbles,White wine,Fat bastard Chardonnay,5.79,"0,75 lPrijs per LT € 7,72",0.75 Liter,
184,1540,Wine and bubbles,White wine,AH Excellent Selectie Kamptal Grüner veltliner,7.99,"0,75 lPrijs per LT € 10,65",750 Milliliter,71.0
185,1529,Wine and bubbles,White wine,Lindeman's Bin 85 pinot grigio,5.29,"0,75 lNormale prijs per LT € 9,32",0.75 Liter,
186,1544,Wine and bubbles,White wine,Settesoli Pinot grigio,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
187,1510,Wine and bubbles,White wine,Mucho Mas White,6.99,"0,75 lPrijs per LT € 9,32",0.75 Liter,
188,1520,Wine and bubbles,White wine,Liebfraumilch Qualitätswein,2.79,"1 lPrijs per LT € 2,79",1 Liter,
189,1528,Wine and bubbles,White wine,Mooi Kaap Droë steen,2.99,"0,75 lPrijs per LT € 3,99",0.75 Liter,72.0
190,1530,Wine and bubbles,White wine,Lindeman's Bin 65 chardonnay,5.29,"0,75 lNormale prijs per LT € 9,32",0.75 Liter,
191,1531,Wine and bubbles,White wine,Lindeman's South Africa chardonnay viognier,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
192,1517,Wine and bubbles,White wine,AH Franse huiswijn fris en droog wit,4.49,"1 lPrijs per LT € 4,49",1 Liter,65.0
193,1543,Wine and bubbles,White wine,Undurraga Chardonnay,3.79,"0,375 lPrijs per LT € 10,11",0.375 Liter,
194,1546,Wine and bubbles,White wine,Ogio Pinot Grigio,6.59,"0,75 lNormale prijs per LT € 8,79",0.75 Liter,
195,1516,Wine and bubbles,White wine,Vila Nova Vinho verde,5.99,"0,75 lPrijs per LT € 7,99",0.75 Liter,
196,1521,Wine and bubbles,White wine,Camden Park Chardonnay,5.29,"0,75 lPrijs per LT € 7,05",0.75 Liter,
197,1505,Wine and bubbles,Rosé,AH Vin rosé de France,4.49,"1 lPrijs per LT € 4,49",1 Liter,66.0
198,1488,Wine and bubbles,Rosé,Stormhoek Cape rosé,3.99,"0,75 lNormale prijs per LT € 7,05",0.75 Liter,
199,1465,Wine and bubbles,Rosé,Four Cousins Lite Skinny ros,4.99,"0,75 lPrijs per LT € 6,65",0.75 Liter,
200,1477,Wine and bubbles,Rosé,AH Droge Franse huiswijn rosé,2.9,"250 mlPrijs per LT € 8,36",250 Milliliter,66.0
